TMolecule accessibility audit — 2026-05-03
Page                 critical   serious    moderate   minor   
  Home                 0          0          0          0       
  Shop                 0          0          0          0       
  Product              0          0          0          0       
  Cart                 0          0          0          0       
  About                0          0          0          0       
  Contact              0          0          0          0       
  Accessibility        0          0          0          0       

TOTAL                0          0          0          0       

Report saved: /home/runner/tmolecule/audits/axe-2026-05-03.json
